Date,Cpi,Jclaim,Int_rate,Stock_price,Inf,Cboe,Gold,Oil,Bitcoin,Dollar
2021-03-10,265.028,693000.0,1.5199999809265137,3898.81005859375,2.26,22.559999465942383,1721.5,64.44000244140625,56008.55078125,91.79000091552734
2021-03-11,265.028,693000.0,1.5269999504089355,3939.340087890625,2.28,21.90999984741211,1722.300048828125,66.0199966430664,57805.12109375,91.41999816894531
2021-03-12,265.028,693000.0,1.6349999904632568,3943.340087890625,2.26,20.690000534057617,1719.5,65.61000061035156,57332.08984375,91.68000030517578
2021-03-15,265.028,699000.0,1.6069999933242798,3968.93994140625,2.27,20.030000686645508,1728.9000244140625,65.38999938964844,55907.19921875,91.83000183105469
2021-03-16,265.028,699000.0,1.621000051498413,3962.7099609375,2.3,19.790000915527344,1730.5999755859375,64.80000305175781,56804.90234375,91.87000274658203
2021-03-17,265.028,699000.0,1.6410000324249268,3974.1201171875,2.3,19.229999542236328,1726.800048828125,64.5999984741211,58870.89453125,91.4000015258789
2021-03-18,265.028,699000.0,1.7300000190734863,3915.4599609375,2.27,21.579999923706055,1732.199951171875,60.0,57858.921875,91.8499984741211
2021-03-19,265.028,699000.0,1.7319999933242798,3913.10009765625,2.31,20.950000762939453,1741.4000244140625,61.41999816894531,58346.65234375,91.91999816894531
2021-03-22,265.028,627000.0,1.684000015258789,3940.590087890625,2.33,18.8799991607666,1737.800048828125,61.54999923706055,54529.14453125,91.80000305175781
2021-03-23,265.028,627000.0,1.6380000114440918,3910.52001953125,2.29,20.299999237060547,1724.699951171875,57.7599983215332,54738.9453125,92.33999633789062
2021-03-24,265.028,627000.0,1.6139999628067017,3889.139892578125,2.31,21.200000762939453,1732.9000244140625,61.18000030517578,52774.265625,92.52999877929688
2021-03-25,265.028,627000.0,1.6139999628067017,3909.52001953125,2.32,19.809999465942383,1724.9000244140625,58.560001373291016,51704.16015625,92.87999725341797
2021-03-26,265.028,627000.0,1.659999966621399,3974.5400390625,2.34,18.860000610351562,1732.199951171875,60.970001220703125,55137.3125,92.7699966430664
2021-03-29,265.028,658000.0,1.7209999561309814,3971.090087890625,2.36,20.739999771118164,1712.0999755859375,61.560001373291016,57750.19921875,92.94000244140625
2021-03-30,265.028,658000.0,1.7259999513626099,3958.550048828125,2.35,19.610000610351562,1683.9000244140625,60.54999923706055,58917.69140625,93.30000305175781
2021-03-31,265.028,658000.0,1.746000051498413,3972.889892578125,2.37,19.399999618530273,1713.800048828125,59.15999984741211,58918.83203125,93.2300033569336
2021-04-01,266.727,658000.0,1.6790000200271606,4019.8701171875,2.35,17.329999923706055,1726.5,61.45000076293945,59095.80859375,92.93000030517578
2021-04-05,266.727,645000.0,1.7200000286102295,4077.909912109375,2.35,17.90999984741211,1727.0,58.650001525878906,59057.87890625,92.5999984741211
2021-04-06,266.727,645000.0,1.656000018119812,4073.93994140625,2.32,18.1200008392334,1741.5,59.33000183105469,58192.359375,92.33999633789062
2021-04-07,266.727,645000.0,1.652999997138977,4079.949951171875,2.34,17.15999984741211,1740.0999755859375,59.77000045776367,56048.9375,92.45999908447266
2021-04-08,266.727,645000.0,1.6319999694824219,4097.169921875,2.33,16.950000762939453,1756.800048828125,59.599998474121094,58323.953125,92.05999755859375
2021-04-09,266.727,645000.0,1.6660000085830688,4128.7998046875,2.31,16.690000534057617,1743.300048828125,59.31999969482422,58245.00390625,92.16000366210938
2021-04-12,266.727,571000.0,1.6749999523162842,4127.990234375,2.33,16.90999984741211,1731.199951171875,59.70000076293945,59893.453125,92.13999938964844
2021-04-13,266.727,571000.0,1.6230000257492065,4141.58984375,2.33,16.649999618530273,1746.199951171875,60.18000030517578,63503.45703125,91.8499984741211
2021-04-14,266.727,571000.0,1.6380000114440918,4124.66015625,2.33,16.989999771118164,1734.9000244140625,63.150001525878906,63109.6953125,91.69000244140625
2021-04-15,266.727,571000.0,1.5299999713897705,4170.419921875,2.33,16.56999969482422,1765.4000244140625,63.459999084472656,63314.01171875,91.66999816894531
2021-04-16,266.727,571000.0,1.5729999542236328,4185.47021484375,2.36,16.25,1779.0,63.130001068115234,61572.7890625,91.55999755859375
2021-04-19,266.727,566000.0,1.6009999513626099,4163.259765625,2.34,17.290000915527344,1769.4000244140625,63.380001068115234,55724.265625,91.06999969482422
2021-04-20,266.727,566000.0,1.562000036239624,4134.93994140625,2.32,18.68000030517578,1777.300048828125,62.439998626708984,56473.03125,91.23999786376953
2021-04-21,266.727,566000.0,1.5640000104904175,4173.419921875,2.33,17.5,1792.300048828125,61.349998474121094,53906.08984375,91.16000366210938
2021-04-22,266.727,566000.0,1.5540000200271606,4134.97998046875,2.33,18.709999084472656,1781.199951171875,61.43000030517578,51762.2734375,91.33000183105469
2021-04-23,266.727,566000.0,1.5670000314712524,4180.169921875,2.34,17.329999923706055,1777.0,62.13999938964844,51093.65234375,90.86000061035156
2021-04-26,266.727,574000.0,1.5700000524520874,4187.6201171875,2.36,17.639999389648438,1779.199951171875,61.90999984741211,54021.75390625,90.80999755859375
2021-04-27,266.727,574000.0,1.621999979019165,4186.72021484375,2.39,17.559999465942383,1778.0,62.939998626708984,55033.1171875,90.91000366210938
2021-04-28,266.727,574000.0,1.6200000047683716,4183.18017578125,2.41,17.280000686645508,1773.199951171875,63.86000061035156,54824.703125,90.61000061035156
2021-04-29,266.727,574000.0,1.6399999856948853,4211.47021484375,2.42,17.610000610351562,1768.0999755859375,65.01000213623047,53555.109375,90.61000061035156
2021-04-30,266.727,574000.0,1.63100004196167,4181.169921875,2.41,18.610000610351562,1767.300048828125,63.58000183105469,57750.17578125,91.27999877929688
2021-05-03,268.599,517000.0,1.6069999933242798,4192.66015625,2.42,18.309999465942383,1791.4000244140625,64.48999786376953,57200.29296875,90.94999694824219
2021-05-04,268.599,517000.0,1.5920000076293945,4164.66015625,2.42,19.479999542236328,1775.800048828125,65.69000244140625,53333.5390625,91.29000091552734
2021-05-05,268.599,517000.0,1.5839999914169312,4167.58984375,2.47,19.149999618530273,1784.0999755859375,65.62999725341797,57424.0078125,91.30999755859375
2021-05-06,268.599,517000.0,1.5609999895095825,4201.6201171875,2.45,18.389999389648438,1815.5,64.70999908447266,56396.515625,90.94999694824219
2021-05-07,268.599,517000.0,1.5770000219345093,4232.60009765625,2.49,16.690000534057617,1831.0999755859375,64.9000015258789,57356.40234375,90.2300033569336
2021-05-10,268.599,494000.0,1.6019999980926514,4188.43017578125,2.54,19.65999984741211,1837.5,64.91999816894531,55859.796875,90.20999908447266
2021-05-11,268.599,494000.0,1.6239999532699585,4152.10009765625,2.53,21.84000015258789,1835.9000244140625,65.27999877929688,56704.57421875,90.13999938964844
2021-05-12,268.599,494000.0,1.6950000524520874,4063.0400390625,2.54,27.59000015258789,1822.5999755859375,66.08000183105469,49150.53515625,90.70999908447266
2021-05-13,268.599,494000.0,1.6679999828338623,4112.5,2.51,23.1299991607666,1823.800048828125,63.81999969482422,49716.19140625,90.75
2021-05-14,268.599,494000.0,1.6349999904632568,4173.85009765625,2.51,18.809999465942383,1837.9000244140625,65.37000274658203,49880.53515625,90.31999969482422
2021-05-17,268.599,467000.0,1.6399999856948853,4163.2900390625,2.54,19.719999313354492,1867.5,66.2699966430664,43537.51171875,90.22000122070312
2021-05-18,268.599,467000.0,1.6419999599456787,4127.830078125,2.52,21.34000015258789,1867.800048828125,65.48999786376953,42909.40234375,89.75
2021-05-19,268.599,467000.0,1.6829999685287476,4115.68017578125,2.48,22.18000030517578,1881.300048828125,63.36000061035156,37002.44140625,90.19000244140625
2021-05-20,268.599,467000.0,1.6339999437332153,4159.1201171875,2.41,20.670000076293945,1881.800048828125,62.04999923706055,40782.73828125,89.80999755859375
2021-05-21,268.599,467000.0,1.6319999694824219,4155.85986328125,2.43,20.149999618530273,1876.699951171875,63.58000183105469,37304.69140625,90.0199966430664
2021-05-24,268.599,441000.0,1.6080000400543213,4197.0498046875,2.44,18.399999618530273,1884.5999755859375,66.05000305175781,38705.98046875,89.83000183105469
2021-05-25,268.599,441000.0,1.5640000104904175,4188.1298828125,2.42,18.84000015258789,1898.0999755859375,66.06999969482422,38402.22265625,89.63999938964844
2021-05-26,268.599,441000.0,1.5740000009536743,4195.990234375,2.4,17.360000610351562,1901.300048828125,66.20999908447266,39294.19921875,90.04000091552734
