Rank,Zip Code,Population
862,14081,"3,123"
863,14098,"3,102"
864,12072,"3,097"
865,10006,"3,092"
866,10588,"3,087"
867,11978,"3,086"
868,11718,"3,075"
869,13691,"3,074"
870,13167,"3,067"
871 TIE,12074 and 14062,"3,046"
872,14712,"3,044"
873,12015,"3,026"
874,11794,"3,024"
875,14561,"3,014"
876,14755,"3,011"
877,13478,"3,009"
878,14172,"3,002"
879,13461,"3,000"
880,14735,"2,981"
881,12788,"2,980"
882,12919,"2,974"
883,12075,"2,959"
884,12525,"2,956"
885,14170,"2,944"
886,12520,"2,932"
887,14517,"2,931"
888,14770,"2,926"
889,11548,"2,922"
890,13825,"2,914"
891,13060,"2,912"
892,12154,"2,901"
893,13667,"2,898"
894,12850,"2,887"
895,12546,"2,885"
896,13795,"2,878"
897,14865,"2,874"
898,12821,"2,869"
899,12966,"2,858"
900,12547,"2,855"
901,12056,"2,847"
902,12413,"2,813"
903,12514,"2,807"
904,11549,"2,803"
905,13164,"2,797"
906,10984,"2,789"
907,13332,"2,782"
908,12458,"2,778"
909,14435,"2,773"
910,14739,"2,740"
911,12921,"2,734"
912,14715,"2,733"
913,14034,"2,716"
914,13613,"2,708"
915,13730,"2,687"
916,13143,"2,681"
917,12167,"2,678"
918,14817,"2,658"
919,14853,"2,656"
920,12501,"2,645"
921,13783,"2,634"
922,12567,"2,633"
923,14840,"2,631"
924,13092,"2,626"
925,14716,"2,623"
926,12859,"2,617"
927,12484,"2,612"
928,13044,"2,595"
929,12183,"2,592"
930,13654,"2,578"
931,14873,"2,574"
932,13459,"2,557"
933,14775,"2,545"
934,13606,"2,512"
935,10973,"2,479"
936,13146,"2,462"
937,13685,"2,460"
938,14471,"2,458"
939,12835,"2,456"
940 TIE,12529 and 13363,"2,453"
941,10537,"2,441"
942,13409,"2,437"
943,14525,"2,424"
944,12149,"2,423"
945,11964,"2,413"
946,13622,"2,410"
947 TIE,14521 and 14724,"2,405"
948,10968,"2,400"
949 TIE,12094 and 14847,"2,398"
950,13076,"2,397"
951,14516,"2,392"
952 TIE,13812 and 13612,"2,386"
953,14604,"2,364"
954,12581,"2,358"
955,12979,"2,356"
956 TIE,13324 and 14813,"2,351"
957,14627,"2,348"
958,12981,"2,341"
959,13424,"2,338"
960,13040,"2,337"
961,14012,"2,334"
962,12106,"2,333"
963,10976,"2,332"
964,13658,"2,320"
965,13425,"2,318"
966,13101,"2,311"
967,12575,"2,308"
968,12926,"2,304"
969,12920,"2,285"
970,14809,"2,284"
971,13736,"2,283"
972,14782,"2,270"
973,12583,"2,269"
974,13620,"2,267"
975,14476,"2,250"
976,14747,"2,243"
977,12466,"2,241"
978,13042,"2,224"
979,14422,"2,221"
980,13797,"2,220"
981,12748,"2,215"
982,12918,"2,210"
983,12912,"2,209"
984 TIE,14533 and 12780,"2,206"
985,12207,"2,202"
986,14139,"2,193"
987,13416,"2,189"
988,12023,"2,187"
989,12910,"2,183"
990 TIE,"11977, 14560, and 14818","2,176"
991,14744,"2,175"
992,13626,"2,172"
993,10511,"2,166"
994,13673,"2,142"
995,14767,"2,138"
996,12578,"2,123"
997 TIE,13648 and 14806,"2,121"
998 TIE,12996 and 12155,"2,119"
999,13120,"2,109"
"1,000",12916,"2,108"
"1,001",14781,"2,089"
"1,002 TIE",13110 and 12789,"2,081"
"1,003",12776,"2,078"
"1,004",13495,"2,059"
"1,005",12759,"2,058"
"1,006",12783,"2,048"
"1,007",13697,"2,047"
"1,008",14718,"2,041"
"1,009",13327,"2,038"
"1,010",13320,"2,037"
"1,011 TIE",12747 and 12740,"2,035"
"1,012",12168,"2,033"
"1,013",13083,"2,029"
"1,014",13034,"2,021"
"1,015",14898,"2,018"
"1,016",13843,"2,015"
"1,017 TIE",13646 and 12937,"2,014"
"1,018",12185,"2,006"
"1,019",12173,"1,999"
"1,020",14879,"1,998"
"1,021",12440,"1,997"
"1,022",14058,"1,994"
"1,023",12928,"1,988"
"1,024",12121,"1,972"
"1,025",12737,"1,963"
"1,026",14826,"1,957"
"1,027 TIE",13746 and 14544,"1,954"
"1,028",14427,"1,943"
"1,029 TIE",12057 and 14814,"1,942"
"1,030",13063,"1,934"
"1,031",12779,"1,930"
"1,032",14040,"1,921"
"1,033",11509,"1,920"
"1,034",14171,"1,918"
"1,035",14838,"1,917"
"1,036",14101,"1,910"
"1,037",12817,"1,905"
"1,038",14741,"1,900"
"1,039",10986,"1,899"
"1,040",12463,"1,895"
"1,041",14726,"1,892"
"1,042",12958,"1,881"
"1,043",12197,"1,880"
"1,044",14138,"1,879"
"1,045",12977,"1,874"
"1,046",13156,"1,870"
"1,047",12192,"1,867"
"1,048",12193,"1,855"
"1,049",13679,"1,851"
"1,050",14145,"1,847"
"1,051",12775,"1,845"
"1,052",14504,"1,839"
"1,053",14005,"1,838"
"1,054",12853,"1,836"
"1,055",13775,"1,829"
"1,056",13302,"1,826"
"1,057",13734,"1,817"
"1,058",12870,"1,816"
"1,059",14711,"1,814"
"1,060",13160,"1,812"
"1,061",13431,"1,811"
"1,062",13493,"1,804"
"1,063",14030,"1,800"
"1,064 TIE",12729 and 11941,"1,797"
"1,065",13433,"1,791"
"1,066",14743,"1,784"
"1,067",12577,"1,783"
"1,068",13625,"1,778"
"1,069",14028,"1,776"
"1,070",13054,"1,775"
"1,071",13144,"1,774"
"1,072",10917,"1,766"
"1,073",12137,"1,764"
"1,074",10526,"1,763"
"1,075",14167,"1,761"
"1,076",11005,"1,759"
"1,077",12455,"1,755"
"1,078",13490,"1,753"
"1,079",12516,"1,747"
"1,080",14203,"1,733"
"1,081",12957,"1,723"
"1,082",13616,"1,722"
"1,083",12116,"1,712"
"1,084",13024,"1,709"
"1,085",13111,"1,706"
"1,086",14013,"1,703"
"1,087",13680,"1,702"
"1,088",14481,"1,699"
"1,089",13660,"1,697"
"1,090",12140,"1,690"
"1,091",12059,"1,682"
"1,092",11976,"1,679"
"1,093 TIE",13026 and 14033,"1,677"
"1,094",13343,"1,675"
"1,095",13112,"1,673"
"1,096",12070,"1,669"
"1,097",13402,"1,659"
"1,098",12461,"1,654"
"1,099 TIE",12764 and 12481,"1,650"
"1,100",14880,"1,640"
"1,101 TIE",14065 and 10922,"1,637"
"1,102",12523,"1,626"
"1,103",12723,"1,625"
"1,104 TIE",12066 and 12486,"1,623"
"1,105",13304,"1,617"
"1,106",13428,"1,615"
"1,107",12052,"1,611"
"1,108",13608,"1,607"
"1,109",14054,"1,593"
"1,110",14591,"1,592"
"1,111",13618,"1,590"
"1,112",14466,"1,576"
"1,113",13158,"1,569"
"1,114",13650,"1,567"
"1,115",14024,"1,552"
"1,116",12935,"1,551"
"1,117",13652,"1,548"
"1,118",12062,"1,546"
"1,119",12093,"1,545"
"1,120",13808,"1,544"
"1,121",13052,"1,541"
"1,122",14889,"1,539"
"1,123",12956,"1,538"
"1,124 TIE",12451 and 13809,"1,531"
"1,125",14129,"1,530"
"1,126",12974,"1,529"
"1,127",13328,"1,526"
"1,128",13661,"1,521"
"1,129",12067,"1,519"
"1,130",14478,"1,501"
"1,131",12504,"1,494"
"1,132",14550,"1,491"
"1,133",10162,"1,486"
"1,134",12125,"1,483"
"1,135",13315,"1,481"
"1,136",12491,"1,478"
"1,137",12472,"1,464"
"1,138",13145,"1,457"
"1,139",12496,"1,456"
"1,140",12959,"1,454"
"1,141 TIE","12086, 12515, and 12592","1,453"
"1,142",13630,"1,448"
"1,143",13318,"1,443"
"1,144",14804,"1,435"
"1,145",13801,"1,428"
"1,146",14008,"1,415"
"1,147",12060,"1,414"
"1,148 TIE",13348 and 14477,"1,411"
"1,149",12058,"1,394"
"1,150",14709,"1,389"
"1,151",12917,"1,378"
"1,152",13464,"1,373"
"1,153",13335,"1,370"
"1,154",12733,"1,367"
"1,155",13796,"1,362"
"1,156",14778,"1,354"
"1,157",14571,"1,350"
"1,158",12521,"1,349"
"1,159",13757,"1,338"
"1,160",14055,"1,331"
"1,161",12993,"1,330"
"1,162",12985,"1,328"
"1,163",13607,"1,322"
"1,164",12980,"1,321"
"1,165",14506,"1,317"
"1,166",12076,"1,308"
"1,167",12548,"1,306"
"1,168",12814,"1,284"
"1,169",12903,"1,283"
"1,170",14858,"1,281"
"1,171",14066,"1,260"
"1,172",14869,"1,259"
"1,173",12485,"1,256"
"1,174",14102,"1,255"
"1,175",14894,"1,246"
"1,176",13694,"1,244"
"1,177 TIE",10596 and 12941,"1,242"
"1,178",13122,"1,239"
"1,179",13028,"1,229"
"1,180",10546,"1,228"
"1,181",10964,"1,224"
